Date,Close,High,Low,Open,Volume,MA_5,MA_10,MA_20,Vol_MA_5,Vol_MA_20
2025-07-02,1073.5843505859375,1073.5843505859375,1058.74217062392,1063.6895639445925,23822731,1065.6684814453124,1050.33154296875,1034.0752227783203,33828410.8,31926355.95
2025-07-03,1078.5316162109375,1093.373794415675,1078.5316162109375,1093.373794415675,36973556,1068.6369140625,1055.7736572265626,1038.8354522705079,34011783.6,32554311.55
2025-07-04,1073.5843505859375,1088.426530547955,1068.636957265265,1083.4791372272823,20363322,1069.6263916015625,1058.7421020507813,1043.496109008789,31574642.6,32888962.3
2025-07-07,1068.636962890625,1073.584356237341,1058.7421761971932,1068.636962890625,18829372,1073.584326171875,1064.6789794921874,1047.4167510986329,28857773.6,32746715.5
2025-07-08,1068.636962890625,1068.636962890625,1053.7947828504775,1058.7421761971932,27461252,1072.5948486328125,1067.6474365234376,1049.3667938232422,25490046.6,31875896.1
2025-07-09,1078.5316162109375,1078.5316162109375,1053.7946525363748,1058.7420452712872,23618216,1073.5843017578125,1069.6263916015625,1050.8262725830077,25449143.6,31197882.0
2025-07-10,1088.426513671875,1088.426513671875,1078.5317271839488,1083.479120427912,22350503,1075.56328125,1072.10009765625,1053.547348022461,22524533.0,31054326.85
2025-07-11,1088.426513671875,1088.426513671875,1078.5317271839488,1083.479120427912,28249780,1078.5317138671876,1074.079052734375,1057.0105224609374,24101824.6,31047143.1
2025-07-14,1083.47900390625,1088.4263966181506,1073.5842184824487,1088.4263966181506,25760632,1081.5001220703125,1077.5422241210938,1060.4736938476562,25488076.6,30906141.05
2025-07-15,1098.3211669921875,1103.2685596362965,1078.5315964157517,1083.4789890598606,45416390,1087.436962890625,1080.0159057617188,1063.689501953125,29079104.2,31851091.6
2025-07-16,1118.1107177734375,1118.1107177734375,1108.2159326603985,1108.2159326603985,31013743,1095.352783203125,1084.4685424804688,1067.4000427246094,30558209.6,31505192.7
2025-07-17,1118.1107177734375,1123.0581103299571,1103.2685401038786,1118.1107177734375,30648595,1101.2896240234375,1088.4264526367188,1072.1000549316407,32217828.0,31837494.6
2025-07-18,1142.8477783203125,1147.795171300054,1132.9529923608293,1142.8477783203125,46645034,1112.173876953125,1095.3527954101562,1077.0474487304687,35896878.8,31278179.7
2025-07-21,1137.900390625,1137.900390625,1123.0582116168478,1132.9529976222825,26749324,1123.058154296875,1102.2791381835937,1083.4790588378905,36094617.2,31008452.3
2025-07-22,1118.1107177734375,1147.7950731125552,1118.1107177734375,1132.9528954429964,50457506,1127.016064453125,1107.226513671875,1087.4369750976562,37102840.4,32123150.75
2025-07-23,1132.9530029296875,1132.9530029296875,1123.0582168779,1128.0056099037938,29747757,1129.984521484375,1112.66865234375,1091.1475219726562,36849643.2,31671351.8
2025-07-24,1132.9530029296875,1142.847788981475,1132.9530029296875,1137.9003959555814,15055463,1132.952978515625,1117.1213012695312,1094.6106994628906,33731016.8,30621290.35
2025-07-25,1132.9530029296875,1142.847788981475,1128.0056099037938,1137.9003959555814,22476546,1130.9740234375,1121.5739501953126,1097.8265014648437,28897319.2,30117666.3
2025-07-28,1132.9530029296875,1147.795182007369,1132.9530029296875,1142.847788981475,20606376,1129.9845458984375,1126.5213500976563,1102.031787109375,27668729.6,29527299.25
2025-07-29,1123.05810546875,1132.9528905389593,1113.1633203985407,1132.9528905389593,31763255,1130.9740234375,1128.9950439453125,1104.5054748535156,23929879.4,28900467.65
2025-07-30,1142.8477783203125,1147.795171300054,1132.9529923608293,1137.900385340571,34182363,1132.952978515625,1131.46875,1107.9686462402344,24816800.6,29418449.25
2025-07-31,1147.7952880859375,1152.7426815690667,1142.8478946028083,1147.7952880859375,33230751,1135.921435546875,1134.43720703125,1111.4318298339845,28451858.2,29231309.0
2025-08-04,1123.05810546875,1123.05810546875,1113.1633203985407,1118.1107129336451,23939021,1133.9424560546875,1132.4582397460938,1113.905517578125,28744353.2,29410093.95
2025-08-05,1137.900390625,1137.900390625,1128.0056046195652,1132.9529976222825,17012960,1134.93193359375,1132.4582397460938,1117.3686889648438,28025670.0,29319273.35
2025-08-06,1113.1634521484375,1123.058238389757,1113.1634521484375,1118.1108452690971,22023406,1132.9530029296875,1131.9635131835937,1119.5950134277343,26077700.2,29047381.05
2025-08-07,1167.584716796875,1167.584716796875,1142.847752457958,1147.7951453257415,61370031,1137.900390625,1135.4266845703125,1124.0476684570312,31515233.8,30934971.8
