K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
02.T字線,10.-6~-4%,1.<5%,45.21,47.26,47.26,45.21,45.21,146
10.長下影線綠K,11.-8~-6%,2.5~10%,46.15,50.35,40.43,47.52,47.52,143
06.長下影線紅K,03.6~8%,3.10~15%,50.7,50.7,42.96,42.96,46.81,142
07.紅K,04.4~6%,3.10~15%,28.57,35.0,33.57,32.14,34.29,141
09.實體綠K(大陰線),11.-8~-6%,4.>15%,46.43,44.6,48.92,46.76,44.6,140
04.十字線,11.-8~-6%,1.<5%,52.55,52.55,51.82,51.82,51.82,137
02.T字線,04.4~6%,2.5~10%,43.07,42.34,44.53,46.72,45.26,137
10.長下影線綠K,07.0%,3.10~15%,34.56,37.5,36.03,37.5,36.76,136
06.長下影線紅K,10.-6~-4%,2.5~10%,47.06,50.74,49.26,48.53,50.74,136
02.T字線,06.0~2%,2.5~10%,28.15,31.85,35.56,38.52,43.28,135
09.實體綠K(大陰線),13.<-10%,4.>15%,38.52,34.81,36.3,37.78,38.52,135
02.T字線,08.-2~0%,2.5~10%,35.82,40.3,43.61,36.84,34.59,134
04.十字線,03.6~8%,2.5~10%,48.12,47.37,46.62,44.36,50.38,133
09.實體綠K(大陰線),06.0~2%,3.10~15%,35.61,55.38,42.31,43.08,43.85,132
10.長下影線綠K,11.-8~-6%,1.<5%,52.38,56.35,60.32,56.35,56.8,126
05.實體紅K(大陽線),07.0%,3.10~15%,32.79,43.44,44.26,46.72,44.26,122
05.實體紅K(大陽線),01.>10%,4.>15%,43.75,38.39,34.82,29.46,32.14,112
07.紅K,05.2~4%,3.10~15%,40.91,41.82,45.45,41.82,44.55,110
11.綠K,05.2~4%,2.5~10%,45.87,44.95,42.2,39.45,46.79,109
12.長上影線綠K,01.>10%,1.<5%,39.05,47.62,43.81,41.9,40.95,105
05.實體紅K(大陽線),02.8~10%,4.>15%,43.27,42.31,45.19,40.38,40.38,104
10.長下影線綠K,01.>10%,1.<5%,36.54,40.38,40.38,39.42,40.38,104
10.長下影線綠K,04.4~6%,3.10~15%,32.35,28.43,26.47,19.61,22.55,102
08.長上影線紅K,12.-10~-8%,2.5~10%,52.94,49.02,53.92,52.94,49.02,102
07.紅K,10.-6~-4%,1.<5%,46.39,53.61,59.79,61.86,57.29,97
08.長上影線紅K,12.-10~-8%,1.<5%,56.84,53.68,55.79,50.53,53.68,95
04.十字線,11.-8~-6%,3.10~15%,42.86,47.25,47.25,45.05,49.45,91
