K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),05.2~4%,3.10~15%,58.82,58.82,41.18,47.06,58.82,17
08.長上影線紅K,11.-8~-6%,3.10~15%,70.59,70.59,76.47,76.47,64.71,17
03.倒T字線,10.-6~-4%,3.10~15%,64.71,58.82,76.47,70.59,70.59,17
08.長上影線紅K,05.2~4%,3.10~15%,43.75,31.25,50.0,56.25,56.25,16
05.實體紅K(大陽線),09.-4~-2%,3.10~15%,50.0,50.0,56.25,56.25,50.0,16
10.長下影線綠K,03.6~8%,3.10~15%,46.67,33.33,33.33,40.0,33.33,15
12.長上影線綠K,04.4~6%,2.5~10%,40.0,40.0,40.0,33.33,20.0,15
05.實體紅K(大陽線),13.<-10%,2.5~10%,40.0,53.33,33.33,40.0,26.67,15
08.長上影線紅K,03.6~8%,2.5~10%,40.0,46.67,53.33,46.67,53.33,15
10.長下影線綠K,13.<-10%,1.<5%,64.29,64.29,57.14,64.29,57.14,14
07.紅K,10.-6~-4%,1.<5%,53.85,53.85,53.85,53.85,66.67,13
04.十字線,11.-8~-6%,3.10~15%,38.46,46.15,38.46,30.77,23.08,13
07.紅K,01.>10%,1.<5%,53.85,53.85,53.85,46.15,46.15,13
07.紅K,03.6~8%,1.<5%,69.23,46.15,46.15,38.46,46.15,13
11.綠K,01.>10%,1.<5%,23.08,30.77,38.46,38.46,30.77,13
07.紅K,04.4~6%,3.10~15%,25.0,33.33,50.0,66.67,66.67,12
08.長上影線紅K,01.>10%,2.5~10%,25.0,25.0,25.0,25.0,33.33,12
07.紅K,03.6~8%,2.5~10%,58.33,58.33,58.33,41.67,50.0,12
06.長下影線紅K,11.-8~-6%,1.<5%,66.67,58.33,58.33,58.33,58.33,12
04.十字線,02.8~10%,1.<5%,41.67,41.67,83.33,83.33,50.0,12
02.T字線,04.4~6%,3.10~15%,58.33,41.67,50.0,50.0,41.67,12
05.實體紅K(大陽線),08.-2~0%,4.>15%,16.67,25.0,33.33,33.33,25.0,12
02.T字線,11.-8~-6%,1.<5%,41.67,33.33,41.67,41.67,50.0,12
08.長上影線紅K,13.<-10%,2.5~10%,63.64,63.64,63.64,63.64,54.55,11
04.十字線,03.6~8%,2.5~10%,54.55,45.45,36.36,9.09,30.0,11
07.紅K,05.2~4%,3.10~15%,54.55,45.45,54.55,54.55,54.55,11
03.倒T字線,13.<-10%,2.5~10%,54.55,63.64,45.45,36.36,63.64,11
10.長下影線綠K,02.8~10%,2.5~10%,36.36,36.36,45.45,45.45,27.27,11
11.綠K,02.8~10%,1.<5%,70.0,80.0,60.0,80.0,70.0,10
05.實體紅K(大陽線),06.0~2%,4.>15%,40.0,30.0,30.0,40.0,40.0,10
