K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
02.T字線,07.0%,2.5~10%,28.95,31.87,33.63,35.96,36.55,342
09.實體綠K(大陰線),06.0~2%,3.10~15%,35.24,39.88,38.97,37.76,38.67,334
12.長上影線綠K,06.0~2%,3.10~15%,39.63,44.51,42.38,42.99,42.07,329
10.長下影線綠K,04.4~6%,3.10~15%,29.07,32.37,35.26,33.33,33.44,313
08.長上影線紅K,09.-4~-2%,3.10~15%,44.85,48.84,52.0,50.67,52.0,302
10.長下影線綠K,02.8~10%,1.<5%,26.76,33.22,38.87,35.82,40.93,285
02.T字線,04.4~6%,2.5~10%,44.52,46.29,47.35,47.0,48.76,283
01.一字線,13.<-10%,1.<5%,29.96,30.32,34.66,40.43,42.6,277
08.長上影線紅K,10.-6~-4%,3.10~15%,49.82,55.68,56.78,58.61,58.24,273
04.十字線,02.8~10%,2.5~10%,45.79,47.62,46.52,46.15,46.15,273
10.長下影線綠K,11.-8~-6%,1.<5%,44.61,44.61,47.96,47.96,46.27,269
04.十字線,01.>10%,4.>15%,44.7,40.91,40.91,37.88,38.26,264
03.倒T字線,10.-6~-4%,2.5~10%,63.5,60.46,66.92,61.98,64.26,263
05.實體紅K(大陽線),12.-10~-8%,1.<5%,45.56,52.9,57.53,56.76,55.98,259
02.T字線,01.>10%,1.<5%,59.84,58.66,55.12,52.76,51.97,254
10.長下影線綠K,07.0%,3.10~15%,32.39,34.41,39.68,40.49,36.44,248
05.實體紅K(大陽線),08.-2~0%,3.10~15%,44.9,46.12,50.61,52.65,53.28,245
04.十字線,03.6~8%,1.<5%,36.36,40.91,42.56,40.08,41.32,242
07.紅K,09.-4~-2%,2.5~10%,41.08,48.55,47.72,44.4,49.79,241
06.長下影線紅K,10.-6~-4%,2.5~10%,42.68,48.54,48.95,47.28,48.54,239
03.倒T字線,07.0%,2.5~10%,48.31,54.66,55.08,54.24,54.66,236
09.實體綠K(大陰線),07.0%,3.10~15%,39.83,41.95,44.92,47.46,45.76,236
08.長上影線紅K,12.-10~-8%,2.5~10%,49.36,47.66,56.6,55.74,62.82,235
03.倒T字線,06.0~2%,2.5~10%,46.55,46.12,46.98,45.69,45.26,232
11.綠K,08.-2~0%,3.10~15%,36.24,37.55,44.98,41.92,38.43,229
07.紅K,05.2~4%,3.10~15%,34.5,36.24,34.5,35.37,39.3,229
10.長下影線綠K,02.8~10%,2.5~10%,34.72,36.11,37.67,36.74,38.6,218
02.T字線,08.-2~0%,2.5~10%,22.58,30.41,33.33,30.56,31.02,217
05.實體紅K(大陽線),07.0%,3.10~15%,37.79,43.32,49.31,50.23,47.47,217
07.紅K,03.6~8%,1.<5%,40.38,44.34,43.87,47.39,48.34,213
07.紅K,03.6~8%,3.10~15%,37.74,39.15,40.09,40.09,40.57,212
03.倒T字線,12.-10~-8%,2.5~10%,49.75,47.78,55.67,57.64,56.65,204
03.倒T字線,09.-4~-2%,2.5~10%,52.71,56.16,58.62,54.19,56.16,203
04.十字線,11.-8~-6%,1.<5%,48.77,43.84,49.01,53.47,53.47,203
09.實體綠K(大陰線),02.8~10%,1.<5%,27.72,27.23,32.18,33.66,32.67,202
11.綠K,04.4~6%,1.<5%,39.59,46.19,47.72,47.21,44.67,197
06.長下影線紅K,01.>10%,1.<5%,51.78,46.19,50.0,48.98,49.49,197
06.長下影線紅K,02.8~10%,3.10~15%,49.74,45.64,50.0,48.96,48.96,196
